Herptile,Mammal,Fruit,Nectar,Fish,Woody,Other,Animal,Plant,Herbaceous,Vertebrate,Invertebrate,Leaf,Seed,Bird,trophic_level,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,habitat_breadth_n,Activity.Nocturnal,Activity.Crepuscular,BodyMass.SpecLevel,Activity.Diurnal,scientific,Order,Family,Genus,DerekDietClassification90InsVertivoreSorting,foraging_stratum,biogeographical_realm,Species,adult_mass_g,dphy_invertebrate,dphy_vertebrate,dphy_plant,adult_body_mass_g,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.Vunk,Diet.Seed,BodyMass.Value,Diet.Vect,Diet.Scav,Diet.Nect,Diet.PlantO,Diet.Vend,Diet.Inv,Diet.Fruit,Diet.Vfish,Diet.PlantAll
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,Gracilinanus marica,DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,,S,Neotropical,marica,16.9,50.0,0.0,50.0,16.9,0.0,0.0,50.0,50.0,0.0,0.0,0.0,23.8,0.0,0.0,20.0,0.0,0.0,50.0,30.0,0.0,50.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Gracilinanus dryas,DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,,S,Neotropical,dryas,18.265,50.0,0.0,50.0,18.265,0.0,0.0,50.0,50.0,0.0,0.0,0.0,18.0,0.0,0.0,20.0,0.0,0.0,50.0,30.0,0.0,50.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Gracilinanus aceramarcae,DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,,S,Neotropical,aceramarcae,21.75,50.0,0.0,50.0,21.75,0.0,0.0,50.0,50.0,0.0,0.0,0.0,20.5,0.0,0.0,20.0,0.0,0.0,50.0,30.0,0.0,50.0
,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,Gracilinanus agricolai,,,,,,,,68.16,20.0,0.0,70.0,82.01,0.0,0.0,20.0,0.0,20.0,0.0,0.0,75.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,70.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Gracilinanus agilis,DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,O-For Examination,S,Neotropical,agilis,21.5,50.0,0.0,50.0,21.5,0.0,0.0,50.0,50.0,0.0,0.0,0.0,22.0,0.0,0.0,20.0,0.0,0.0,50.0,30.0,0.0,50.0
,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,Gracilinanus ignitus,,,,,,,,68.16,20.0,0.0,70.0,82.01,0.0,0.0,20.0,0.0,20.0,0.0,0.0,75.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,70.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Hyladelphys kalinowskii,DIDELPHIMORPHIA,DIDELPHIDAE,Hyladelphys,,Ar,Neotropical,kalinowskii,15.5,20.0,0.0,80.0,15.5,10.0,10.0,70.0,20.0,0.0,0.0,0.0,16.75,0.0,10.0,0.0,0.0,10.0,60.0,20.0,0.0,20.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,Lestodelphys halli,DIDELPHIMORPHIA,DIDELPHIDAE,Lestodelphys,,S,Neotropical,halli,78.27,0.0,100.0,0.0,78.27,100.0,100.0,100.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Lutreolina crassicaudata,DIDELPHIMORPHIA,DIDELPHIDAE,Lutreolina,,S,Neotropical,crassicaudata,450.0,30.0,60.0,10.0,450.0,60.0,80.0,100.0,0.0,0.0,0.0,0.0,537.3,20.0,0.0,0.0,0.0,40.0,20.0,0.0,20.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Marmosa murina,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,,Ar,Neotropical,murina,518.0,40.0,30.0,30.0,518.0,30.0,30.0,70.0,30.0,0.0,10.0,0.0,26.0,10.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,30.0
