Species.Name,Common.Name.or.Group,FaName,Eats_terrestrial_verts,Eats_fruit,Eats_arthropods,Eats_terrestrial_inverts,Eats_leaves,Eats_grains_seeds,Eats_nectar,Eats_eggs,Eats_fungi,Eats_lichen,Eats_molluscs,Eats_fish,Eats_marine_mammals,Meyer.Lab.Classification,BMR_per_mass,Diet_breadth,Trophic_level,Faith_diversity,Shannon_diversity
Pteropus vampyrus,Megabat,vs_HLpteVam2,0,1,0,0,0,0,0,0,0,0,0,0,0,Herbivore,NA,2,1,NA,NA
Pygathrix nemaeus,Douc Langur,vs_HLpygNem1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,2,1,NA,NA
Rangifer tarandus,Reindeer,vs_HLranTar1,0,0,0,0,1,0,0,0,0,1,0,0,0,Herbivore,NA,3,1,NA,NA
Rhinopithecus bieti,Snub-nosed Langur ,vs_rhiBie1,0,1,0,0,1,0,0,0,0,1,0,0,0,Herbivore,NA,5,2,43.45224637,6.592624641
Rhinopithecus roxellana,Snub-nosed Langur ,vs_HLrhiRox2,0,1,0,0,1,0,0,0,0,1,0,0,0,Herbivore,NA,2,1,39.22672072,6.505367594
Rousettus aegyptiacus,Rousette Fruit Bats,vs_HLrouAeg4,0,1,0,0,0,0,1,0,0,0,0,0,0,Herbivore,126,3,1,7.956480323,2.621556571
Saiga tatarica,Saiga,vs_HLsaiTat1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,2,1,NA,NA
Semnopithecus entellus,Hanuman Langur,vs_HLsemEnt1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,2,1,45.74242995,7.190459993
Tapirus indicus,Malayan Tapir,vs_HLtapInd2,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,NA,3,1,NA,NA
Tapirus terrestris,South American Tapir,vs_HLtapTer1,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,NA,5,2,44.63353,5.782056
Thryonomys swinderianus,Cane rat,vs_HLthrSwi1,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,NA,2,1,NA,NA
Tragulus javanicus,Asiatic Mouse Deer,vs_HLtraJav1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,1618,3,1,28.88144689,3.008183424
Trichechus manatus latirostris,Manatee,vs_triMan1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,NA,NA,30.27016,5.387516
Vicugna pacos,Alpaca,vs_vicPac2,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,NA,NA,NA,NA
Chrysochloris asiatica,Cape golden mole,vs_chrAsi1,0,0,0,1,0,0,0,0,0,0,0,0,0,Insectivore,34,2,3,NA,NA
Craseonycteris thonglongyai,Kitti's Hog-nosed Bat,vs_HLcraTho1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,1,3,NA,NA
Elephantulus edwardii,Cape elephant shrew,vs_eleEdw1,0,0,1,0,0,0,0,0,NA,0,0,0,0,Insectivore,49.9,NA,NA,NA,NA
Eptesicus fuscus,Big brown bat,vs_eptFus1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,16.9,1,3,NA,NA
Hipposideros armiger,Old World Leaf-nosed Bats,vs_HLhipArm1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,1,3,NA,NA
Hipposideros galeritus,Old World Leaf-nosed Bats,vs_HLhipGal1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,8.5,2,2,NA,NA
Lasiurus borealis,Hairy-taled Bats,vs_HLlasBor1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,12.2,1,3,NA,NA
Manis javanica,Sunda pangolin,vs_HLmanJav2,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,4220,1,3,NA,NA
Manis pentadactyla,Chinese pangolin,vs_HLmanPen2,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,1,3,16.98132984,3.00817869
Micronycteris hirsuta,Little Big-eared Bats,vs_HLmicHir1,0,1,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,2,2,NA,NA
Miniopterus natalensis,Long-winged bats,vs_HLminNat1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,1,3,NA,NA
Miniopterus schreibersii,Long-winged bats,vs_HLminSch1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,1,3,NA,NA
Mormoops blainvillei,Leaf-chinned Bats,vs_HLmorBla1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,8.6,1,3,NA,NA
Murina feae,Tube-nosed Insectivorous Bats,vs_HLmurAurFea1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,NA,NA,NA,NA
Pipistrellus pipistrellus,Pipistrelles,vs_HLpipPip2,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,1,3,NA,NA
Pteronotus parnellii,Mustache Bat,vs_ptePar1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,19.2,1,3,21.59377907,3.008334798
