Order,Family,Genus,Species,Binomial,Species.Name,vertebrate,invertebrate,fibrousplant,nonfibrousplant,Adult_bodymass_g,Diet_category,Adult_bodymass_kg,Diet category based on prey type
Artiodactyla,Bovidae,Oryx,gazella,Oryx gazella,Oryx_gazella,0,0,1,1,169001.3,Nonfibrous/Fibrous,169.0013,Herbivore
Artiodactyla,Bovidae,Oryx,leucoryx,Oryx leucoryx,Oryx_leucoryx,0,0,1,1,87700,Nonfibrous/Fibrous,87.7,Herbivore
Artiodactyla,Bovidae,Ourebia,ourebi,Ourebia ourebi,Ourebia_ourebi,0,0,1,0,17250,Fibrous,17.25,Herbivore
Artiodactyla,Bovidae,Ovibos,moschatus,Ovibos moschatus,Ovibos_moschatus,0,0,1,0,340501,Fibrous,340.501,Herbivore
Artiodactyla,Bovidae,Ovis,ammon,Ovis ammon,Ovis_ammon,0,0,1,0,180000,Fibrous,180,Herbivore
Artiodactyla,Bovidae,Ovis,canadensis,Ovis canadensis,Ovis_canadensis,0,0,1,0,74644.9,Fibrous,74.6449,Herbivore
Artiodactyla,Bovidae,Ovis,dalli,Ovis dalli,Ovis_dalli,0,0,1,0,55650.6,Fibrous,55.6506,Herbivore
Artiodactyla,Bovidae,Pantholops,hodgsonii,Pantholops hodgsonii,Pantholops_hodgsonii,0,0,1,0,27500,Fibrous,27.5,Herbivore
Artiodactyla,Bovidae,Pelea,capreolus,Pelea capreolus,Pelea_capreolus,0,0,1,0,20000,Fibrous,20,Herbivore
Artiodactyla,Bovidae,Philantomba,maxwellii,Philantomba maxwellii,Philantomba_maxwellii,0,0,1,1,12000,Nonfibrous/Fibrous,12,Herbivore
Artiodactyla,Bovidae,Procapra,gutturosa,Procapra gutturosa,Procapra_gutturosa,0,0,1,1,27750,Nonfibrous/Fibrous,27.75,Herbivore
Artiodactyla,Bovidae,Raphicerus,campestris,Raphicerus campestris,Raphicerus_campestris,0,0,1,1,10500,Nonfibrous/Fibrous,10.5,Herbivore
Artiodactyla,Bovidae,Raphicerus,melanotis,Raphicerus melanotis,Raphicerus_melanotis,0,0,1,1,10249.9,Nonfibrous/Fibrous,10.2499,Herbivore
Artiodactyla,Bovidae,Raphicerus,sharpei,Raphicerus sharpei,Raphicerus_sharpei,0,0,1,1,9499.9,Nonfibrous/Fibrous,9.4999,Herbivore
Artiodactyla,Bovidae,Redunca,arundinum,Redunca arundinum,Redunca_arundinum,0,0,1,0,58000.3,Fibrous,58.0003,Herbivore
Artiodactyla,Bovidae,Redunca,fulvorufula,Redunca fulvorufula,Redunca_fulvorufula,0,0,1,0,29499.9,Fibrous,29.4999,Herbivore
Artiodactyla,Bovidae,Redunca,redunca,Redunca redunca,Redunca_redunca,0,0,1,0,44050.4,Fibrous,44.0504,Herbivore
Artiodactyla,Bovidae,Rupicapra,rupicapra,Rupicapra rupicapra,Rupicapra_rupicapra,0,0,1,0,26100,Fibrous,26.1,Herbivore
Artiodactyla,Bovidae,Saiga,tatarica,Saiga tatarica,Saiga_tatarica,0,0,1,0,29000,Fibrous,29,Herbivore
Artiodactyla,Bovidae,Sylvicapra,grimmia,Sylvicapra grimmia,Sylvicapra_grimmia,0,0,1,1,19499.8,Nonfibrous/Fibrous,19.4998,Herbivore
Artiodactyla,Bovidae,Syncerus,caffer,Syncerus caffer,Syncerus_caffer,0,0,1,0,580002.7,Fibrous,580.0027,Herbivore
Artiodactyla,Bovidae,Tetracerus,quadricornis,Tetracerus quadricornis,Tetracerus_quadricornis,0,0,1,0,19000,Fibrous,19,Herbivore
Artiodactyla,Bovidae,Tragelaphus,angasii,Tragelaphus angasii,Tragelaphus_angasii,0,0,1,1,86600.4,Nonfibrous/Fibrous,86.6004,Herbivore
Artiodactyla,Bovidae,Tragelaphus,buxtoni,Tragelaphus buxtoni,Tragelaphus_buxtoni,0,0,1,1,215000.8,Nonfibrous/Fibrous,215.0008,Herbivore
Artiodactyla,Bovidae,Tragelaphus,eurycerus,Tragelaphus eurycerus,Tragelaphus_eurycerus,0,0,1,1,329003.1,Nonfibrous/Fibrous,329.0031,Herbivore
Artiodactyla,Bovidae,Tragelaphus,imberbis,Tragelaphus imberbis,Tragelaphus_imberbis,0,0,1,0,81575.5,Fibrous,81.5755,Herbivore
Artiodactyla,Bovidae,Tragelaphus,scriptus,Tragelaphus scriptus,Tragelaphus_scriptus,0,0,1,1,43250.4,Nonfibrous/Fibrous,43.2504,Herbivore
Artiodactyla,Bovidae,Tragelaphus,spekii,Tragelaphus spekii,Tragelaphus_spekii,0,0,1,0,77999.2,Fibrous,77.9992,Herbivore
Artiodactyla,Bovidae,Tragelaphus,strepsiceros,Tragelaphus strepsiceros,Tragelaphus_strepsiceros,0,0,1,1,213501,Nonfibrous/Fibrous,213.501,Herbivore
Artiodactyla,Camelidae,Camelus,dromedarius,Camelus dromedarius,Camelus_dromedarius,0,0,1,0,NA,Fibrous,NA,Herbivore
Artiodactyla,Camelidae,Vicugna,vicugna,Vicugna vicugna,Vicugna_vicugna,0,0,1,0,47499.6,Fibrous,47.4996,Herbivore
Artiodactyla,Cervidae,Alces,alces,Alces alces,Alces_alces,0,0,1,0,356998,Fibrous,356.998,Herbivore
Artiodactyla,Cervidae,Axis,axis,Axis axis,Axis_axis,0,0,1,0,69500,Fibrous,69.5,Herbivore
Artiodactyla,Cervidae,Axis,calamianensis,Axis calamianensis,Axis_calamianensis,0,0,1,0,40500,Fibrous,40.5,Herbivore
Artiodactyla,Cervidae,Axis,kuhlii,Axis kuhlii,Axis_kuhlii,0,0,1,0,55000,Fibrous,55,Herbivore
Artiodactyla,Cervidae,Axis,porcinus,Axis porcinus,Axis_porcinus,0,0,1,0,35000,Fibrous,35,Herbivore
Artiodactyla,Cervidae,Blastocerus,dichotomus,Blastocerus dichotomus,Blastocerus_dichotomus,0,0,1,0,86666.2,Fibrous,86.6662,Herbivore
Artiodactyla,Cervidae,Capreolus,capreolus,Capreolus capreolus,Capreolus_capreolus,0,0,1,0,22500,Fibrous,22.5,Herbivore
Artiodactyla,Cervidae,Cervus,elaphus,Cervus elaphus,Cervus_elaphus,0,0,1,0,161406,Fibrous,161.406,Herbivore
