Appendix S1. MammalDIET 2 dataset: dietary information for additional 1261 species not covered by Kissling et al. (2014).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binomial,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,Bibliography,,,,,,,,,,,,,,,,,,,,,,,,,
Microtus agrestis,RODENTIA,CRICETIDAE,Microtus,agrestis,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,Herbivore,0,0,0,0,1,"Southern, H. N. 1964. The Handbook of British Mammals. Blackwell Scientific Publications, Oxford.",,,,,,,,,,,,,,,,,,,,,,,,,
Antechinus bellus,DASYUROMORPHIA,DASYURIDAE,Antechinus,bellus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Chalinolobus gouldii,CHIROPTERA,VESPERTILIONIDAE,Chalinolobus,gouldii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Chalinolobus morio,CHIROPTERA,VESPERTILIONIDAE,Chalinolobus,morio,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Dasycercus cristicauda,DASYUROMORPHIA,DASYURIDAE,Dasycercus,cristicauda,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros stenotis,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,stenotis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Leggadina forresti,RODENTIA,MURIDAE,Leggadina,forresti,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,Omnivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Macrotis leucura,PERAMELEMORPHIA,THYLACOMYIDAE,Macrotis,leucura,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,Omnivore,0,1,1,1,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Melomys burtoni,RODENTIA,MURIDAE,Melomys,burtoni,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,Omnivore,0,1,1,1,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Melomys capensis,RODENTIA,MURIDAE,Melomys,capensis,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,Herbivore,0,0,1,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Ningaui timealeyi,DASYUROMORPHIA,DASYURIDAE,Ningaui,timealeyi,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Notomys alexis,RODENTIA,MURIDAE,Notomys,alexis,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Omnivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Notomys cervinus,RODENTIA,MURIDAE,Notomys,cervinus,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,Omnivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Notomys fuscus,RODENTIA,MURIDAE,Notomys,fuscus,3,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,Herbivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Notomys mitchellii,RODENTIA,MURIDAE,Notomys,mitchellii,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,Omnivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctimene robinsoni,CHIROPTERA,PTEROPODIDAE,Nyctimene,robinsoni,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctophilus arnhemensis,CHIROPTERA,VESPERTILIONIDAE,Nyctophilus,arnhemensis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctophilus geoffroyi,CHIROPTERA,VESPERTILIONIDAE,Nyctophilus,geoffroyi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctophilus gouldi,CHIROPTERA,VESPERTILIONIDAE,Nyctophilus,gouldi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctophilus walkeri,CHIROPTERA,VESPERTILIONIDAE,Nyctophilus,walkeri,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Onychogalea fraenata,DIPROTODONTIA,MACROPODIDAE,Onychogalea,fraenata,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,Herbivore,0,0,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Onychogalea unguifera,DIPROTODONTIA,MACROPODIDAE,Onychogalea,unguifera,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,Herbivore,0,0,1,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Petrogale assimilis,DIPROTODONTIA,MACROPODIDAE,Petrogale,assimilis,0,0,0,0,0,0,0,1,2,2,0,0,2,1,2,1,Herbivore,0,0,1,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Petrogale brachyotis,DIPROTODONTIA,MACROPODIDAE,Petrogale,brachyotis,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,Herbivore,0,0,0,1,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Petrogale penicillata,DIPROTODONTIA,MACROPODIDAE,Petrogale,penicillata,0,0,0,0,0,0,0,1,3,3,0,0,1,1,1,1,Herbivore,0,0,1,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Petrogale xanthopus,DIPROTODONTIA,MACROPODIDAE,Petrogale,xanthopus,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,Herbivore,0,0,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Phascogale tapoatafa,DASYUROMORPHIA,DASYURIDAE,Phascogale,tapoatafa,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,Omnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pipistrellus westralis,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,westralis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys albocinereus,RODENTIA,MURIDAE,Pseudomys,albocinereus,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,Omnivore,0,1,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys apodemoides,RODENTIA,MURIDAE,Pseudomys,apodemoides,2,0,0,0,0,0,2,1,0,0,1,1,1,0,1,0,Omnivore,0,1,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys australis,RODENTIA,MURIDAE,Pseudomys,australis,2,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,Omnivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys bolami,RODENTIA,MURIDAE,Pseudomys,bolami,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,Omnivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys calabyi,RODENTIA,MURIDAE,Pseudomys,calabyi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,1,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys delicatulus,RODENTIA,MURIDAE,Pseudomys,delicatulus,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Herbivore,0,0,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys desertor,RODENTIA,MURIDAE,Pseudomys,desertor,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,Herbivore,0,0,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys fieldi,RODENTIA,MURIDAE,Pseudomys,fieldi,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,Omnivore,0,1,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys gracilicaudatus,RODENTIA,MURIDAE,Pseudomys,gracilicaudatus,2,0,0,0,0,0,2,1,1,0,0,0,3,0,0,2,Omnivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys hermannsburgensis,RODENTIA,MURIDAE,Pseudomys,hermannsburgensis,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,Omnivore,0,1,0,1,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys nanus,RODENTIA,MURIDAE,Pseudomys,nanus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Herbivore,0,0,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys novaehollandiae,RODENTIA,MURIDAE,Pseudomys,novaehollandiae,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,Omnivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys occidentalis,RODENTIA,MURIDAE,Pseudomys,occidentalis,1,0,0,0,0,0,1,1,2,2,0,0,1,0,0,1,Omnivore,0,1,1,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys oralis,RODENTIA,MURIDAE,Pseudomys,oralis,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,1,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys shortridgei,RODENTIA,MURIDAE,Pseudomys,shortridgei,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,Herbivore,0,0,1,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Rattus colletti,RODENTIA,MURIDAE,Rattus,colletti,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,Herbivore,0,0,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Rattus exulans,RODENTIA,MURIDAE,Rattus,exulans,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,Omnivore,0,1,1,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Rattus feliceus,RODENTIA,MURIDAE,Rattus,feliceus,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,Omnivore,0,1,1,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Rattus leucopus,RODENTIA,MURIDAE,Rattus,leucopus,1,0,0,0,0,0,1,2,2,2,0,0,0,0,0,2,Omnivore,0,1,1,1,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Rattus lutreolus,RODENTIA,MURIDAE,Rattus,lutreolus,2,0,0,0,0,0,2,1,2,2,0,0,1,1,1,0,Omnivore,0,1,1,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Rattus sordidus,RODENTIA,MURIDAE,Rattus,sordidus,2,0,0,0,0,0,2,1,1,0,0,0,1,0,1,1,Omnivore,0,1,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Rattus tunneyi,RODENTIA,MURIDAE,Rattus,tunneyi,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,Herbivore,0,0,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Rattus villosissimus,RODENTIA,MURIDAE,Rattus,villosissimus,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Herbivore,0,0,0,1,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Sminthopsis virginiae,DASYUROMORPHIA,DASYURIDAE,Sminthopsis,virginiae,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Taphozous georgianus,CHIROPTERA,EMBALLONURIDAE,Taphozous,georgianus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Taphozous hilli,CHIROPTERA,EMBALLONURIDAE,Taphozous,hilli,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Thylogale billardierii,DIPROTODONTIA,MACROPODIDAE,Thylogale,billardierii,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,3,Herbivore,0,0,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Thylogale thetis,DIPROTODONTIA,MACROPODIDAE,Thylogale,thetis,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,Herbivore,0,0,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Uromys caudimaculatus,RODENTIA,MURIDAE,Uromys,caudimaculatus,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Herbivore,0,0,1,1,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Vespadelus caurinus,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,caurinus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Vespadelus darlingtoni,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,darlingtoni,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Vespadelus douglasorum,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,douglasorum,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Vespadelus finlaysoni,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,finlaysoni,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Vespadelus regulus,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,regulus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Vespadelus vulturnus,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,vulturnus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Viverra megaspila,CARNIVORA,VIVERRIDAE,Viverra,megaspila,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Omnivore,0,0,0,0,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Wallabia bicolor,DIPROTODONTIA,MACROPODIDAE,Wallabia,bicolor,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,Herbivore,0,0,0,0,1,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Zyzomys palatalis,RODENTIA,MURIDAE,Zyzomys,palatalis,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Herbivore,0,0,1,1,0,"Strahan, R. 1995. The Mammals of Australia. Reed Books. Chatswood, NSW.",,,,,,,,,,,,,,,,,,,,,,,,,
Aeromys tephromelas,RODENTIA,SCIURIDAE,Aeromys,tephromelas,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,Herbivore,0,0,1,1,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Ammospermophilus harrisii,RODENTIA,SCIURIDAE,Ammospermophilus,harrisii,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,Omnivore,0,1,1,1,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Ammospermophilus interpres,RODENTIA,SCIURIDAE,Ammospermophilus,interpres,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,Omnivore,0,1,1,1,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Ammospermophilus leucurus,RODENTIA,SCIURIDAE,Ammospermophilus,leucurus,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,Omnivore,0,1,1,1,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Belomys pearsonii,RODENTIA,SCIURIDAE,Belomys,pearsonii,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Herbivore,0,0,1,0,1,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Callosciurus caniceps,RODENTIA,SCIURIDAE,Callosciurus,caniceps,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,Herbivore,0,0,1,0,1,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Callosciurus erythraeus,RODENTIA,SCIURIDAE,Callosciurus,erythraeus,2,3,0,3,0,0,2,1,1,1,0,0,0,2,0,1,Omnivore,0,1,1,1,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Callosciurus finlaysonii,RODENTIA,SCIURIDAE,Callosciurus,finlaysonii,3,0,0,0,0,0,3,1,1,1,0,0,1,1,0,1,Omnivore,0,1,1,1,1,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Callosciurus melanogaster,RODENTIA,SCIURIDAE,Callosciurus,melanogaster,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,Omnivore,0,1,1,0,1,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Callosciurus pygerythrus,RODENTIA,SCIURIDAE,Callosciurus,pygerythrus,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,Omnivore,0,1,1,0,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Cynomys ludovicianus,RODENTIA,SCIURIDAE,Cynomys,ludovicianus,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,Herbivore,0,0,0,1,1,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Cynomys mexicanus,RODENTIA,SCIURIDAE,Cynomys,mexicanus,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,Herbivore,0,0,0,1,1,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Dremomys everetti,RODENTIA,SCIURIDAE,Dremomys,everetti,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,Omnivore,0,1,1,1,1,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Dremomys pernyi,RODENTIA,SCIURIDAE,Dremomys,pernyi,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,Omnivore,1,0,0,1,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Epixerus ebii,RODENTIA,SCIURIDAE,Epixerus,ebii,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,Omnivore,0,1,1,1,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Eupetaurus cinereus,RODENTIA,SCIURIDAE,Eupetaurus,cinereus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Herbivore,0,0,0,0,1,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Exilisciurus exilis,RODENTIA,SCIURIDAE,Exilisciurus,exilis,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Omnivore,0,1,0,0,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Funambulus palmarum,RODENTIA,SCIURIDAE,Funambulus,palmarum,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,Omnivore,0,1,1,1,1,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Funambulus pennantii,RODENTIA,SCIURIDAE,Funambulus,pennantii,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,Omnivore,0,1,0,0,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
Funambulus tristriatus,RODENTIA,SCIURIDAE,Funambulus,tristriatus,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,Omnivore,0,1,0,1,0,"Thorington Jr,R.W., Koprowski, J.L., Steele, M.A., & Whatton, J.F. 2012. Squirrels of the world. JHU Press.",,,,,,,,,,,,,,,,,,,,,,,,,
