scientific,MSWFamilyLatin,Folivore,MammalEater,Granivore,Family,Frugivore,Plant,Leaf,Insectivore,Invertebrate,Fish,Fruit,Woody,Herbaceous,Animal,Species,Order,Other,Nectar,Mammal,Genus,Herptile,Bird,Vertebrate,Root,Seed,TrophicLevel,phylacine_binomial,adult_mass_g,adult_brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n,class,subspecies,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,male_maturity_d,genus,female_maturity_d,species,order,family,Scientific_Binomial,CommonName,ZoonomiaName,ZoonomiaTip,HillerName,MSWC_Order,MSWC_Family,MSWC_Genus,MSWC_Species,MedgedDataOrder,Divider,Meyer.Diet.Categorical,Meyer.Lab.Classification,Meyer.Lab.Classification.Clean,Meyer.Lab.Classification.Compressed,MeyerTrophicLevel,DerekDietClassification70,DerekDietClassification90,DerekDietClassification90InsVertivoreSorting,panTheriaTrophicLevel,panTheriaTrophicLevelCharacter,Divider2,DividerSpacer,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.PlantAll,Divider3,Laurasiatheria,Domestication,DomesticationBinary,Echolocation,ForStrat.Certainty,Diet.PlantO,Diet.Fruit,BodyMass.Value,Activity.Source,ForStrat.Comment,ForStrat.Value,Diet.Inv,Diet.Vfish,Activity.Diurnal,Diet.Seed,Activity.Crepuscular,Activity.Certainty,BodyMass.SpecLevel,Diet.Vect,Diet.Vend,Activity.Nocturnal,Diet.Vunk,MSW3_ID,Diet.Certainty,BodyMass.Source,Diet.Nect,Diet.Scav,Diet.Source
Arvicanthis ansorgei,Muridae,1.0,0.0,1.0,MURIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,ansorgei,RODENTIA,0.0,0.0,0.0,Arvicanthis,0.0,0.0,0.0,0.0,1.0,Herbivore,Arvicanthis ansorgei,95.8,,204.0,,2445.5,48.445,73.89,22.0,,5.0,3.5,32.228,4.15,22.827,21.7,,0.292,,,,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,G,2.0,0.0,0.0,1.0,0.0,,,,,,,,Afrotropical,4.0,Mammalia,-999.0,Sudanian Arvicanthis,5.0,3.5,95.8,6.7,22.0,22.827,4.15,21.7,-999.0,-999.0,-999.0,6.675,0.088295688,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.0,Arvicanthis,51.89,ansorgei,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,70.0,0.0,102.35,Ref_1,,G,0.0,0.0,1.0,30.0,1.0,ABC,0.0,0.0,0.0,1.0,0.0,2262.0,D1,"Ref_2, Ref_3",0.0,0.0,Ref_2
Arvicanthis blicki,Muridae,1.0,0.0,1.0,MURIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,blicki,RODENTIA,0.0,0.0,0.0,Arvicanthis,0.0,0.0,0.0,0.0,1.0,Herbivore,Arvicanthis blicki,100.67,,204.0,,848.625,,,,,,,,,,,,0.3,,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70.0,2.0,1.0,G,2.0,0.0,0.0,1.0,0.0,4050.0,2500.0,1550.0,0.0,,0.0,0.0,Afrotropical,1.0,Mammalia,-999.0,Blick's Arvicanthis,-999.0,-999.0,100.67,2.325,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.325,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Arvicanthis,-999.0,blicki,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,70.0,0.0,128.0,Ref_1,,G,0.0,0.0,1.0,30.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,2263.0,ABC,Ref_117,0.0,0.0,Ref_1
Arvicanthis neumanni,Muridae,1.0,0.0,1.0,MURIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neumanni,RODENTIA,0.0,0.0,0.0,Arvicanthis,0.0,0.0,0.0,0.0,1.0,Herbivore,Arvicanthis neumanni,73.34,,204.0,,848.625,,,,,,,,,,,,0.252,737.931,,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70.0,2.0,1.0,G,2.0,0.0,0.0,1.0,0.0,1000.0,,,,,,,Afrotropical,2.0,Mammalia,-999.0,Neumann's Arvicanthis,-999.0,-999.0,73.34,2.325,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.325,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Arvicanthis,-999.0,neumanni,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,70.0,0.0,98.36,Ref_1,,G,0.0,0.0,1.0,30.0,1.0,ABC,2.0,0.0,0.0,1.0,0.0,2264.0,ABC,Ref_178,0.0,0.0,Ref_1
Arvicanthis rufinus,Muridae,1.0,0.0,1.0,MURIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,rufinus,RODENTIA,0.0,0.0,0.0,Arvicanthis,0.0,0.0,0.0,0.0,1.0,Herbivore,Arvicanthis rufinus,89.84,,212.0,,2445.5,50.197,77.394,22.0,,4.86,3.5,32.228,4.15,23.0,22.36,,0.282,,,,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,G,2.0,0.0,0.0,1.0,0.0,,,,,,,,Afrotropical,3.0,Mammalia,-999.0,Guinean Arvicanthis,4.86,3.5,89.84,6.7,22.0,23.0,4.15,22.36,-999.0,-999.0,-999.0,6.65,0.088295688,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.0,Arvicanthis,55.394,rufinus,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,70.0,0.0,102.35,Ref_1,,G,0.0,0.0,1.0,30.0,1.0,ABC,0.0,0.0,0.0,1.0,0.0,2265.0,D1,"Ref_2, Ref_3",0.0,0.0,Ref_2
Arvicanthis nairobae,Muridae,1.0,0.0,1.0,MURIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,nairobae,RODENTIA,0.0,0.0,0.0,Arvicanthis,0.0,0.0,0.0,0.0,1.0,Herbivore,Arvicanthis nairobae,73.34,,204.0,,1152.792,,,,,,,,,,,,0.252,,,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70.0,2.0,1.0,G,2.0,0.0,0.0,1.0,0.0,2000.0,,,,,,,Afrotropical,1.0,Mammalia,-999.0,East African Arvicanthis,-999.0,-999.0,73.34,3.158333333,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.741666667,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Arvicanthis,-999.0,nairobae,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,70.0,0.0,104.0,Ref_1,,G,0.0,0.0,1.0,30.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,2266.0,ABC,Ref_117,0.0,0.0,Ref_1
Bandicota bengalensis,Muridae,0.0,0.0,1.0,MURIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,bengalensis,RODENTIA,0.0,0.0,0.0,Bandicota,0.0,0.0,0.0,1.0,1.0,Omnivore,Bandicota bengalensis,196.83,,360.0,,,63.52,91.25,19.185,,7.625,5.9,61.858,4.64,29.776,22.9,,0.434,,0.0,,,,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,2.0,G,1.0,0.0,0.0,1.0,0.0,3500.0,0.0,3500.0,0.0,,1.0,0.0,Indomalayan,5.0,Mammalia,-999.0,Lesser Bandicoot Rat,7.625,5.9,196.83,-999.0,19.18452,29.77646,4.64,22.9,-999.0,-999.0,-999.0,-999.0,0.169472964,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,36.0,-999.0,-999.0,4.7,-999.0,-999.0,-999.0,-999.0,-999.0,Bandicota,71.327,bengalensis,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,80.0,0.0,188.5,Ref_1,,G,20.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,2267.0,ABC,Ref_117,0.0,0.0,Ref_1
Bandicota indica,Muridae,0.0,0.0,1.0,MURIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,indica,RODENTIA,0.0,0.0,0.0,Bandicota,0.0,0.0,0.0,1.0,1.0,Omnivore,Bandicota indica,200.0,,280.995,,1533.0,145.81,272.5,22.0,,6.12,4.015,35.975,4.55,26.737,39.7,,0.437,,0.0,,,,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,2.0,G,1.0,0.0,0.0,1.0,0.0,1500.0,0.0,1500.0,0.0,,1.0,0.0,"Indomalayan, Palearctic",4.0,Mammalia,-999.0,Greater Bandicoot Rat,6.12,4.015,200.0,4.2,22.0,26.73748,4.55,39.7,-999.0,-999.0,-999.0,4.2,0.098562628,-999.0,-999.0,117.0,-999.0,-999.0,-999.0,28.0995,-999.0,-999.0,4.242,-999.0,-999.0,-999.0,-999.0,112.0,Bandicota,115.778,indica,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,80.0,0.0,719.96,Ref_1,,G,20.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,2268.0,ABC,Ref_117,0.0,0.0,Ref_1
Bandicota savilei,Muridae,0.0,0.0,1.0,MURIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,savilei,RODENTIA,0.0,0.0,0.0,Bandicota,0.0,0.0,0.0,1.0,1.0,Omnivore,Bandicota savilei,260.63,,360.0,,,,,,,,,,,,,,0.506,,0.0,,,,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,2.0,G,1.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,Indomalayan,1.0,Mammalia,-999.0,Savile's Bandicoot Rat,-999.0,-999.0,260.63,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,36.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bandicota,-999.0,savilei,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,80.0,0.0,199.0,Ref_1,,G,20.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,2269.0,ABC,Ref_117,0.0,0.0,Ref_1
Batomys russatus,Muridae,1.0,0.0,1.0,MURIDAE,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,russatus,RODENTIA,0.0,0.0,0.0,Batomys,0.0,0.0,0.0,0.0,1.0,Herbivore,Batomys russatus,115.0,,,,,,,,,,,,,,,,0.323,,,,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,G,1.0,0.0,0.0,1.0,0.0,,,,,,,,Indomalayan,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batomys,,russatus,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,30.0,186.79,Ref_1,,G,0.0,0.0,0.0,30.0,0.0,ABC,0.0,0.0,0.0,1.0,0.0,2270.0,D1,"Ref_2, Ref_3",0.0,0.0,Ref_2
Batomys salomonseni,Muridae,1.0,0.0,1.0,MURIDAE,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,salomonseni,RODENTIA,0.0,0.0,0.0,Batomys,0.0,0.0,0.0,0.0,1.0,Herbivore,Batomys salomonseni,185.76,,175.0,,,,,,,,,,,,,,0.42,,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,40.0,3.0,1.0,G,1.0,0.0,0.0,1.0,0.0,2400.0,1200.0,1200.0,1.0,,0.0,0.0,Indomalayan,1.0,Mammalia,-999.0,Mindanao Batomys,-999.0,-999.0,185.76,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Batomys,-999.0,salomonseni,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,30.0,187.0,Ref_1,,G,0.0,0.0,0.0,30.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,2271.0,ABC,Ref_117,0.0,0.0,Ref_1
Batomys granti,Muridae,1.0,0.0,1.0,MURIDAE,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,granti,RODENTIA,0.0,0.0,0.0,Batomys,0.0,0.0,0.0,0.0,1.0,Herbivore,Batomys granti,169.53,,204.0,,,,,,,,,,,,,,0.399,383.46,0.0,,0.002,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,40.0,3.0,1.0,G,1.0,0.0,0.0,1.0,0.0,2600.0,1650.0,950.0,1.0,,0.0,0.0,Indomalayan,1.0,Mammalia,-999.0,Luzon Batomys,-999.0,-999.0,169.53,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Batomys,-999.0,granti,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,30.0,177.8,Ref_1,,G,0.0,0.0,0.0,30.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,2272.0,ABC,Ref_117,0.0,0.0,Ref_1
Batomys dentatus,Muridae,1.0,0.0,1.0,MURIDAE,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,dentatus,RODENTIA,0.0,0.0,0.0,Batomys,0.0,0.0,0.0,0.0,1.0,Herbivore,Batomys dentatus,213.39,,195.0,,,,,,,,,,,,,,0.453,,,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,40.0,3.0,1.0,G,1.0,0.0,0.0,1.0,0.0,,,,,,,,Indomalayan,1.0,Mammalia,-999.0,Large-toothed Batomys,-999.0,-999.0,213.39,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Batomys,-999.0,dentatus,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,30.0,196.0,Ref_1,,G,0.0,0.0,0.0,30.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,2273.0,ABC,Ref_117,0.0,0.0,Ref_1
Berylmys bowersi,Muridae,1.0,0.0,1.0,MURIDAE,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,bowersi,RODENTIA,0.0,0.0,0.0,Berylmys,0.0,0.0,0.0,0.0,1.0,Omnivore,Berylmys bowersi,358.68,4.04,276.53,,1061.542,,,,,3.88,,,,,,,0.603,,0.0,,,,30.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,40.0,3.0,2.0,G,,0.0,0.0,1.0,0.0,1800.0,600.0,1200.0,0.0,,1.0,0.0,"Indomalayan, Palearctic",2.0,Mammalia,-999.0,Bower's Berylmys,3.88,-999.0,358.68,2.908333333,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,27.653,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Berylmys,-999.0,bowersi,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,20.0,300.0,Ref_3,,G,30.0,0.0,0.0,10.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,2274.0,ABC,Ref_117,0.0,0.0,Ref_1
Berylmys mackenziei,Muridae,1.0,0.0,1.0,MURIDAE,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,mackenziei,RODENTIA,0.0,0.0,0.0,Berylmys,0.0,0.0,0.0,0.0,1.0,Omnivore,Berylmys mackenziei,256.0,,300.0,,,,,,,,,,,,,,0.501,,,,,,30.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,40.0,3.0,2.0,G,,0.0,0.0,1.0,0.0,3000.0,1000.0,2000.0,,,,,"Indomalayan, Palearctic",1.0,Mammalia,-999.0,Mackenzie's Berylmys,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Berylmys,-999.0,mackenziei,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,20.0,256.0,Ref_3,,G,30.0,0.0,0.0,10.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,2275.0,ABC,Ref_117,0.0,0.0,Ref_1
Berylmys manipulus,Muridae,1.0,0.0,1.0,MURIDAE,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,manipulus,RODENTIA,0.0,0.0,0.0,Berylmys,0.0,0.0,0.0,0.0,1.0,Omnivore,Berylmys manipulus,116.0,,300.0,,,,,,,,,,,,,,0.324,,,,,,30.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,40.0,3.0,2.0,G,,0.0,0.0,1.0,0.0,1650.0,80.0,1570.0,,,,,"Indomalayan, Palearctic",3.0,Mammalia,-999.0,Manipur Berylmys,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Berylmys,-999.0,manipulus,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,20.0,116.0,Ref_3,,G,30.0,0.0,0.0,10.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,2276.0,ABC,Ref_117,0.0,0.0,Ref_1
Berylmys berdmorei,Muridae,1.0,0.0,1.0,MURIDAE,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,berdmorei,RODENTIA,0.0,0.0,0.0,Berylmys,0.0,0.0,0.0,0.0,1.0,Omnivore,Berylmys berdmorei,235.0,,300.0,,,,,,,,,,,,,,0.478,,,,,,30.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,40.0,3.0,2.0,G,,0.0,0.0,1.0,0.0,2000.0,200.0,1800.0,,,,,Indomalayan,1.0,Mammalia,-999.0,Berdmore's Berylmys,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Berylmys,-999.0,berdmorei,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,20.0,235.0,Ref_3,,G,30.0,0.0,0.0,10.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,2277.0,ABC,Ref_117,0.0,0.0,Ref_1
Bullimus luzonicus,Muridae,0.0,0.0,0.0,MURIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,luzonicus,RODENTIA,0.0,0.0,0.0,Bullimus,0.0,0.0,3.0,0.0,0.0,Omnivore,Bullimus luzonicus,388.57,,239.995,,,,,,,,,,,,,,0.63,,0.0,,,,28.0,3.0,69.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,2400.0,200.0,2200.0,1.0,,0.0,0.0,Indomalayan,3.0,Mammalia,-999.0,Luzon Bullimus,-999.0,-999.0,388.57,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.9995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bullimus,-999.0,luzonicus,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,60.0,10.0,445.0,Ref_3,,G,10.0,0.0,0.0,20.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,2278.0,D2,Ref_117,0.0,0.0,Ref_3
Bullimus bagobus,Muridae,0.0,0.0,0.0,MURIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,bagobus,RODENTIA,0.0,0.0,0.0,Bullimus,0.0,0.0,3.0,0.0,0.0,Omnivore,Bullimus bagobus,324.455,,297.305,,,,,,,,,,,,,,0.571,,0.0,,,,28.0,3.0,69.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,1800.0,200.0,1600.0,1.0,,0.0,0.0,Indomalayan,1.0,Mammalia,-999.0,Mindanao Bullimus,-999.0,-999.0,324.455,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,29.7305,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bullimus,-999.0,bagobus,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,60.0,10.0,432.5,Ref_3,,G,10.0,0.0,0.0,20.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,2279.0,D2,Ref_117,0.0,0.0,Ref_3
Bullimus gamay,Muridae,0.0,0.0,0.0,MURIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,gamay,RODENTIA,0.0,0.0,0.0,Bullimus,0.0,0.0,3.0,0.0,0.0,Omnivore,Bullimus gamay,367.8,,,,,,,,,,,,,,,,0.611,,,,,,28.0,3.0,69.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,1475.0,1000.0,475.0,,,,,Indomalayan,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bullimus,,gamay,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,60.0,10.0,367.8,Ref_3,,G,10.0,0.0,0.0,20.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,2280.0,D2,Ref_140,0.0,0.0,Ref_3
Bunomys penitus,Muridae,0.0,0.0,0.0,MURIDAE,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,penitus,RODENTIA,0.0,0.0,0.0,Bunomys,0.0,0.0,0.0,0.0,0.0,Omnivore,Bunomys penitus,170.0,,197.0,,,,,,,,,,,,,,0.4,,,,,,60.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,2.0,G,,0.0,0.0,1.0,0.0,,1400.0,,,,,,Australasian,1.0,Mammalia,-999.0,Montane Bunomys,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bunomys,-999.0,penitus,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,40.0,170.0,Ref_3,,G,60.0,0.0,0.0,0.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,2281.0,ABC,Ref_117,0.0,0.0,Ref_1
Bunomys andrewsi,Muridae,0.0,0.0,0.0,MURIDAE,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,andrewsi,RODENTIA,0.0,0.0,0.0,Bunomys,0.0,0.0,0.0,0.0,0.0,Omnivore,Bunomys andrewsi,125.0,,197.0,,,,,,,,,,,,,,0.338,,,,,,60.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,2.0,G,,0.0,0.0,1.0,0.0,1400.0,,,,,,,Australasian,2.0,Mammalia,-999.0,Andrew's Bunomys,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bunomys,-999.0,andrewsi,Rodentia,Muridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,40.0,125.0,Ref_3,,G,60.0,0.0,0.0,0.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,2282.0,ABC,Ref_117,0.0,0.0,Ref_1
